"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","2,073","(L)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","94,330","10.2"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","OPERATORS","OPERATORS: (ETHNICITY = HISPANIC)","9,724","(L)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","OPERATORS","OPERATORS: (RACE = ASIAN, ALONE OR COMBINED WITH OTHER RACES)","3,988","(L)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","OPERATORS","OPERATORS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","118,973","(L)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL: (GENDER = FEMALE)","15,133","(L)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","121,035","10.2"
"CENSUS","2007","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","147,817",""
"CENSUS","2007","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","93,817",""
"CENSUS","2007","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","99,284",""
"CENSUS","2002","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","141,267",""
"CENSUS","2002","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","84,357",""
"CENSUS","2002","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","108,164",""
"CENSUS","1997","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","129,430",""
"CENSUS","1997","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","83,300",""
"CENSUS","1997","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","95,452",""
"SURVEY","2018","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","139,600",""
"SURVEY","2018","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","80,300",""
"SURVEY","2018","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","107,600",""
"SURVEY","2017","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","134,900",""
"SURVEY","2017","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","73,700",""
"SURVEY","2017","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","78,200",""
"SURVEY","2016","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","149,000",""
"SURVEY","2016","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","73,700",""
"SURVEY","2016","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","119,000",""
"SURVEY","2015","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","110,200",""
"SURVEY","2015","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","60,400",""
"SURVEY","2015","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","92,400",""
"SURVEY","2014","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","117,500",""
"SURVEY","2014","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","64,800",""
"SURVEY","2014","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","2013","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","163,000",""
"SURVEY","2013","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","79,500",""
"SURVEY","2013","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","116,000",""
"SURVEY","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","156,000",""
"SURVEY","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","85,400",""
"SURVEY","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","119,000",""
"SURVEY","2011","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","152,000",""
"SURVEY","2011","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","88,500",""
"SURVEY","2011","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","122,200",""
"SURVEY","2010","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","151,600",""
"SURVEY","2010","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","84,900",""
"SURVEY","2010","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","114,700",""
"SURVEY","2009","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","149,400",""
"SURVEY","2009","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","85,700",""
"SURVEY","2009","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","114,300",""
"SURVEY","2008","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","151,800",""
"SURVEY","2008","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","84,500",""
"SURVEY","2008","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","97,000",""
"SURVEY","2007","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","154,700",""
"SURVEY","2007","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,300",""
"SURVEY","2007","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","105,800",""
"SURVEY","2006","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","145,000",""
"SURVEY","2006","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","87,000",""
"SURVEY","2006","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","106,000",""
"SURVEY","2005","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","145,000",""
"SURVEY","2005","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,800",""
"SURVEY","2005","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","101,400",""
"SURVEY","2004","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","155,000",""
"SURVEY","2004","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","89,600",""
"SURVEY","2004","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","123,000",""
"SURVEY","2003","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","137,400",""
"SURVEY","2003","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","82,100",""
"SURVEY","2003","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","96,500",""
"SURVEY","2002","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","137,000",""
"SURVEY","2002","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,500",""
"SURVEY","2002","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","100,700",""
"SURVEY","2001","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","125,600",""
"SURVEY","2001","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","78,000",""
"SURVEY","2001","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","87,300",""
"SURVEY","2000","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","144,000",""
"SURVEY","2000","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","87,500",""
"SURVEY","2000","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","107,500",""
"SURVEY","1999","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","127,000",""
"SURVEY","1999","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","82,500",""
"SURVEY","1999","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","98,500",""
"SURVEY","1998","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","118,500",""
"SURVEY","1998","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","79,000",""
"SURVEY","1998","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","84,500",""
"SURVEY","1997","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","131,000",""
"SURVEY","1997","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","87,000",""
"SURVEY","1997","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","93,000",""
"SURVEY","1996","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","135,700",""
"SURVEY","1996","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,700",""
"SURVEY","1996","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","85,700",""
"SURVEY","1995","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","121,400",""
"SURVEY","1995","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","78,700",""
"SURVEY","1995","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","81,700",""
